meeting,selic_rate_target,decision
256,12.75,lower
256,13.25,lower
255,13.75,keep
254,13.75,keep
253,13.75,keep
252,13.75,keep
251,13.75,keep
250,13.75,keep
249,13.75,keep
248,13.75,raise
247,13.25,raise
246,12.75,raise
245,11.75,raise
244,10.75,raise
243,9.25,raise
242,7.75,raise
241,6.25,raise
240,5.25,raise
239,4.25,raise
238,3.5,raise
237,2.75,raise
236,2,keep
235,2,keep
234,2,keep
233,2,keep
232,2,lower
231,2.25,lower
230,3,lower
229,3.75,lower
228,4.25,lower
227,4.5,lower
226,5,lower
225,5.5,lower
224,6,lower
223,6.5,keep
222,6.5,keep
221,6.5,keep
220,6.5,keep
219,6.5,keep
218,6.5,keep
217,6.5,keep
216,6.5,keep
215,6.5,keep
214,6.5,keep
213,6.5,lower
212,6.75,lower
211,7,lower
210,7.5,lower
209,8.25,lower
208,9.25,lower
207,10.25,lower
206,11.25,lower
205,12.25,lower
204,13,lower
203,13.75,lower
202,14,lower
201,14.25,keep
200,14.25,keep
199,14.25,keep
198,14.25,keep
197,14.25,keep
196,14.25,keep
195,14.25,keep
194,14.25,keep
193,14.25,keep
192,14.25,raise
191,13.75,raise
190,13.25,raise
189,12.75,raise
188,12.25,raise
187,11.75,raise
186,11.25,raise
185,11,keep
184,11,keep
183,11,keep
182,11,raise
181,10.75,raise
180,10.5,raise
179,10,raise
178,9.5,raise
177,9,raise
176,8.5,raise
175,8,raise
174,7.5,raise
173,7.25,keep
172,7.25,keep
171,7.25,keep
170,7.25,lower
169,7.5,lower
168,8,lower
167,8.5,lower
166,9,lower
165,9.75,lower
164,10.5,lower
163,11,lower
162,11.5,lower
161,12,lower
160,12.5,raise
159,12.25,raise
158,12,raise
157,11.75,raise
156,11.25,raise
155,10.75,keep
154,10.75,keep
153,10.75,keep
152,10.75,raise
151,10.25,raise
150,9.5,raise
149,8.75,keep
148,8.75,keep
147,8.75,keep
146,8.75,keep
145,8.75,keep
144,8.75,lower
143,9.25,lower
142,10.25,lower
141,11.25,lower
140,12.75,lower
139,13.75,keep
138,13.75,keep
137,13.75,raise
136,13,raise
135,12.25,raise
134,11.75,raise
133,11.25,keep
132,11.25,keep
131,11.25,keep
130,11.25,keep
129,11.25,lower
128,11.5,lower
127,12,lower
126,12.5,lower
125,12.75,lower
124,13,lower
123,13.25,lower
122,13.75,lower
121,14.25,lower
120,14.75,lower
119,15.25,lower
118,15.75,lower
117,16.5,lower
116,17.25,lower
115,18,lower
114,18.5,lower
113,19,lower
112,19.5,lower
111,19.75,keep
110,19.75,keep
109,19.75,keep
108,19.75,raise
107,19.5,raise
106,19.25,raise
105,18.75,raise
104,18.25,raise
103,17.75,raise
102,17.25,raise
101,16.75,raise
100,16.25,raise
99,16,keep
98,16,keep
97,16,keep
96,16,keep
95,16,lower
94,16.25,lower
93,16.5,keep
92,16.5,keep
91,16.5,lower
90,17.5,raise
89,19,lower
88,20,lower
87,22,lower
86,24.5,lower
85,26,lower
84,26.5,keep
83,26.5,keep
82,26.5,keep
81,26.5,raise
80,25.5,raise
79,25,raise
78,22,raise
77,21,keep
76,21,raise
75,18,keep
74,18,keep
73,18,lower
72,18.5,keep
71,18.5,keep
70,18.5,keep
69,18.5,lower
68,18.75,lower
67,19,keep
66,19,keep
65,19,keep
64,19,keep
63,19,keep
62,19,keep
61,19,raise
60,18.25,raise
59,16.75,raise
58,16.25,raise
57,15.75,raise
56,15.25,keep
55,15.25,lower
54,15.75,lower
53,16.5,keep
52,16.5,keep
51,16.5,keep
50,16.5,keep
49,16.5,lower
,17,lower
48,17.5,lower
47,18.5,keep
46,18.5,keep
45,18.5,lower
45,19,keep
44,19,keep
43,19,keep
42,19,keep
41,19,keep
40,19,keep
39,19,lower
38,19.5,keep
37,19.5,lower
36,21,lower
,22,lower
35,23.5,raise
,27,lower
,29.5,lower
,32,lower
34,34,lower
,39.5,lower
,42,lower
33,45,raise
32,25,lower
31,29,raise
30,19,keep
29,19,keep
28,19,keep
27,19,lower
26,19.75,lower
25,21,lower
24,21.75,lower
23,23.25,lower
22,28,lower
21,34.5,lower
